location,stateCode,directorMin,directorMax,directorTrend,seniorManagerMin,seniorManagerMax,seniorManagerTrend,managerMin,managerMax,managerTrend,seniorEstimatorMin,seniorEstimatorMax,seniorEstimatorTrend,estimatorMin,estimatorMax,estimatorTrend,juniorMin,juniorMax,juniorTrend,ptoDays,bonusPercent,flexPercent,esopPercent
"New Orleans, LA",LA,150047,209041,up,149680,175989,up,140363,164250,stable,126085,144653,up,103855,132710,up,82352,93836,up,"10-20","10-20%","40%","19%"
"Lafayette, LA",LA,148880,188110,up,142840,165465,up,123005,151850,up,110155,125005,up,93550,118220,up,75050,87650,up,"10-21","10-20%","35%","16%"
"Kansas City, MO",MO,165520,237000,up,152870,200000,up,121083,138699,up,114350,136353,up,93600,111050,up,72700,90430,up,"10-22","9-21%","43%","11%"
"St Louis, MO",MO,161750,212230,up,130609,147235,up,118067,135597,up,100602,121237,up,87286,102232,up,66205,84300,up,"10-20","8-14%","40%","13%"
"Bismarck, ND",ND,136880,173005,up,132980,148150,up,123005,152330,up,108960,136330,up,92840,108350,up,73470,83880,up,"10-21","10-15%","30%","8%"
"Grand Forks, ND",ND,131650,160390,up,125410,139110,up,122550,138415,up,107650,123480,up,91660,107750,up,69001,80145,up,"10-20","10-15%","35%","10%"
"Lincoln, NE",NE,131950,162850,up,125770,135450,up,117630,135890,up,105170,119450,up,86680,101740,up,69005,79440,up,"12-14","10-16%","30%","11%"
"Albuquerque, NM",NM,153901,188144,up,133188,152300,up,121809,142216,up,112443,127204,up,83302,104533,stable,70800,79660,stable,"10-22","8-14%","39%","12%"
"Oklahoma City, OK",OK,146405,175005,up,132560,155400,up,126770,148500,up,111880,137105,up,95405,110890,up,73780,85250,up,"12-16","14-17%","35%","13%"
"Tulsa, OK",OK,139540,169405,up,124630,145805,up,120950,139840,up,108350,130540,up,90100,108400,up,70890,79150,up,"12-16","9-19%","30%","13%"
"Pierre, SD",SD,135960,173540,up,126150,151350,up,123780,145080,up,107450,128860,up,95150,114750,up,73330,80015,up,"10-16","10-17%","33%","13%"
"Austin, TX",TX,163220,197300,up,155040,178550,up,142960,173705,up,132650,161900,up,102880,130855,up,79250,88200,up,"15-25","15-25%","39%","13%"
"Dallas, TX",TX,165350,198100,up,154305,180810,up,145020,165410,up,132690,157105,up,105330,129640,up,80220,91010,up,"15-25","15-25%","40%","14%"
"Houston, TX",TX,161410,191660,up,144900,166105,up,139500,161010,up,120550,142070,up,95905,121300,up,76660,83885,up,"14-20","15-20%","40%","11%"
"San Antonio, TX",TX,149150,184410,up,138220,160770,up,131940,154880,up,118705,138650,up,91450,111440,up,74660,81120,up,"14-20","15-20%","39%","11%"
"Salt Lake City, UT",UT,172294,202559,up,133209,157364,up,123880,149492,up,111401,123311,up,85201,107230,stable,71705,84655,up,"10-16","9-18%","34%","12%"
"Cedar City, UT",UT,167233,189103,up,130884,153395,up,118400,142155,up,102903,120592,up,82355,104503,stable,69495,80544,up,"10-16","9-17%","30%","10%"
